l_ukrainian:
 achievement_for_the_glory_tooltip:0 "Дипломатично анексував васала."
 achievement_that_is_mine_tooltip:0 "Завоював нову провінцію."
 achievement_victorious_tooltip:0 "Виграв війну."
 achievement_seriously_tooltip:0 "Вбив 10 000 людей в одній битві."
 achievement_cold_war_tooltip:0 "Виграв війну без жодного бою."
 achievement_royal_authority_tooltip:0 "Встановив династичний союз за допомогою перемоги у війні."
 achievement_viva_la_revolucion_tooltip:0 "Підтримав бунтівників в іншій країні й вони добилися виконання своїх вимог."
 achievement_brothers_in_arms_tooltip:0 "Виграв війну в ролі рядового учасника."
 achievement_my_true_friend_tooltip:0 "Розпочав війну для підтримки повстанців та добився виконання їхніх вимог."
 achievement_lion_of_the_north_tooltip:0 "Очолив Протестантську Лігу та здобув перемогу у над Імператором у Війні Ліг."
 achievement_even_better_than_piet_heyn_tooltip:0 "Пограбував золотий флот більш ніж на 100 золотих за один захід."
 achievement_on_the_edge_of_madness_tooltip_95_doom:0 "Граючи за Ацтеків досяг 95 балів приреченості протягом 20 років, не досягаючи 100 балів."
 achievement_magellans_voyage_tooltip:0 "Здійснив першу навколосвітню подорож."
 voting_streak:0 "Успішно провів поправку в парламенті"
 achievement_the_continuation_of_diplomacy_tooltip:0 "Здобув провінцію через погрозу війни."
 achievement_time_bandit_tooltip:0 "Вкрав мапу в іншої країни."
 achievement_pyramid_of_skulls_tooltip:0 "Граючи за Степову Орду вщент зруйнував провінцію з рівнем розвитку щонайменше 30."
 achievement_just_resting_in_my_account_tooltip:0 "Корумповані чиновники у державі-суперниці."
 achievement_its_all_about_luck_tooltip:0 "Переміг трьохзіркового командувача ворога."
 achievement_tooltip_white_company_tooltip:0 "Приєднався до війни проти держави, якій ви здали в оренду кондотьєрів."
 achievement_thats_a_silk_road_tooltip:0 "Усі провінції, які виробляють шовк належать вам, або вашим суб'єктам."
 achievement_not_just_pizza_tooltip:0 "Станьте Великою Державою."
 achievement_pick_your_poison_tooltip:0 "Розвивати провінцію Кафа."
 achievement_we_bled_for_this_tooltip:1 "Виграв війну з більш ніж 1 млн. втрат з обох боків."
 achievement_all_that_is_thine_shall_be_mine_tooltip:0 "Забрав як контрибуції всі дукати з державної скарбниці ворога, під час правління Жадібного Правителя."
 achievement_queen_of_conquest_tooltip:0 "Завойована земля."
 achievement_aaa_credit_tooltip:0 "Взяв на себе 1000 дукатів боргу іншої держави."
 achievement_gentle_persuasion_tooltip:0 "Досяг успіху в облозі фортеці, використовуючи генерала із спеціалізацію 'Спеціаліст з облоги'."
 achievement_core_fu_tooltip:0 "Примусив іншу державу денаціоналізувати 5 національних провінцій в одному мирному договорі."
 achievement_fanatic_collectivist_tooltip:0 "Заволодіти усіма провінціями звідки пішли інституції."
 achievement_abu_bakr_IIs_ambition:0 "Мати 4 південноамериканські колоніальні суб'єкти"
 atleast_10_mahayana_tooltip:0 "Щонайменше 10 держав повинні сповідувати віру махаяна."
 achievement_sakoku_law_tooltip:0 "Виберіть шлях повного ізоляціоніста у щонайменше шести інцидентах."
 achievement_live_long_and_prosper_tooltip:0 "Щонайменше 30 Володінь повинні бути Заможними."
 general_with_steam_name_won_battle_tt:0 "Генерал з ім'ям гравця з облікового запису Stеаm переміг в битві."
 propagated_in_five_moluccan_provinces:0 "Держава [Root.GetName] розповсюдила свою релігію в 5 провінціях вузла §YМолуккські острови§!."
 achievement_david_the_builder_tooltip:0 "Держава [Root.GetName] не має вільних слотів для будівель ні в одній провінції."
 all_coffee_owned_by_you:0 "Жодна провінція в Азії, Європі, Африці чи Океанії, яка виробляє §Yкаву§! не контролюється європейськими державами."
 chop_chop.tooltip:0 "Мав §Y6§! окремих консортів одного монарха."
 anglophile.tooltip:0 "Виконано усі англійські та британські місії."
 achievement_mewar_never_changes_tooltip:0 "Виконано усі меварські місії."
 achievement_the_coin_is_stronger_than_the_sword_tooltip:0 "Купити індійську провінцію за допомогою торгової компанії."
 populists_in_government_tooltip:0 "Змініть тип уряду запровадивши урядові реформи."
 achievement_fine_financials_tooltip:0 "Володійте щонайменше §Y8§! центрами торгівлі §Y3§! рівня."
 achievement_sweet_home_qaraqorum_tooltip:0 "§YМонгольська культура§! є визнаною."
 achievement_eat_your_greens_tooltip:0 "Володійте напряму, або через суб'єкта, кожною провінцією в §YАзії§!, що має ландшафт §Yлуки§! до почарку епохи Абсолютизму."
 achievement_emperor_of_hindustan_tooltip:0 "Відновити кордони Делі до їхніх найбільших в історії розмірів."
 achievement_the_pheasant_strut_tooltip:0 "Перемогти Прусію, завдавши їй щонайменше §Y100 000§! втрат у війні, де Непал і Прусія є воєнними лідерами."
